concept_id	language_code	id	group	lemma	transliteration
15071	eng	25028	1	book	
15071	eng	25029	2	volume	
15071	ita	147626	3	libro	
15071	ita	150085	2	volume	
15071	spa	175533	4	ejemplar	
15071	spa	178930	3	libro	
15071	spa	181489	2	volumen	
15071	cat	213836	4	exemplar	
15071	cat	215587	3	llibre	
15071	cat	215588	2	volum	
15071	glg	241334	2	volume	
15071	glg	241843	4	exemplar	
15071	glg	241880	3	libro	
15071	zho	324971	10	书籍	shu ji
15071	jpn	391190	1	ブック	bukku
15071	jpn	391203	10	本	hon
15071	tha	461609	10	สมุด	s̄mud
15071	tha	463201	10	หนังสือ	h̄nạngs̄ụ̄x
15071	tha	470165	10	เล่ม	lêem
15071	sqi	512996	3	libër	
15071	sqi	512997	2	vëllim	
15071	bul	519702	10	издание	izdanie
15071	bul	519703	5	книга	kniga
15071	bul	519704	6	том	tom
15071	dan	523102	1	bog	
15071	hrv	558676	5	knjiga	
15071	isl	572811	10	bókarbindi	
15071	isl	575060	10	bindi	
15071	ind	597635	1	buku	
15071	ind	597537	7	jilid	
15071	ind	597636	8	kitab	
15071	msa	622195	1	buku	
15071	msa	622101	7	jilid	
15071	msa	622196	8	kitab	
15071	msa	608367	10	isi padu	
15071	pol	647954	5	księga	
15071	swe	693092	1	bok	
15071	nno	697419	1	bok	
15071	nob	700888	1	bok	
15071	fin	725891	10	kirja	
15071	fin	725892	2	volyymi	
15071	eus	836050	3	liburu	
15071	arb	858095	8	كِتَاب	kitāb
15071	arb	859736	10	مُجَلَّد	mujallad
15071	fra	865193	2	volume	
15071	fra	870990	3	livre	
15071	ell	918278	10	βιβλίο	biblío
15071	nld	937974	10	jaargang	
15071	por	983928	3	livro	
15071	por	983929	3	livros	
15071	ron	1021341	6	tom	
15071	ron	1012052	2	volum	
15071	lit	1058983	5	knyga	
15071	lit	1062240	6	tomas	
15071	slk	1064382	11	zväzok	
15071	slk	1075635	5	kniha	
15071	slv	1105322	5	knjiga	
15071	ces	1139682	11	svazek	
15071	cmn	1153926	10	卷	juan
15071	deu	1174246	10	band	
15071	epo	1193430	2	volumo	
15071	gle	1208476	10	imleabhar	
15071	hun	1221373	10	kötet	
15071	hye	1230231	10	հատոր	hator
15071	mkd	1261597	6	том	tom
15071	rus	1282407	6	том	tom
15071	rus	1282408	5	книга	kniga
15071	tur	1313344	10	cilt	
15071	zsm	1332823	7	jilid	
15071	zul	1757434	9	umqulu	
15071	tsn	1765296	1	buka	
15071	tsn	1765978	10	lokwalô	
15071	nso	1777918	1	buka	
15071	nso	1777919	1	puku	
15071	xho	1784987	10	incwadi	
15071	xho	1783777	9	umqulu	
15071	mon	1634101	10	ном хэвлэл	nom hevlel
16321	eng	26764	1	computer	
16321	ita	146086	1	computer	
16321	ita	146087	3	calcolatore	
16321	spa	182417	1	computadora	
16321	spa	182418	2	ordenador	
16321	spa	182038	5	procesador	
16321	cat	216298	2	ordinador	
16321	cat	216299	5	processador	
16321	glg	241049	2	ordenador	
16321	glg	241294	1	computador	
16321	jpn	392645	1	コンピューター	konpyūtā
16321	jpn	392649	10	電算	densan
16321	tha	445184	1	คอมพิวเตอร์	khxmphiwtexr̒
16321	tha	477181	10	คอม	kɔɔm
16321	sqi	513072	1	kompjuter	
16321	bul	519840	1	компютър	kompjutǎr
16321	dan	523524	1	computer	
16321	dan	523525	6	datamaskine	
16321	fas	533723	1	کامپیوتر	kâmpyutr
16321	fas	533724	10	رایانه	râyânh
16321	hrv	559278	1	kompjuter	
16321	hrv	559279	1	kompjutor	
16321	hrv	559280	8	računalo	
16321	isl	581206	10	tölva	
16321	ind	598211	1	komputer	
16321	msa	622818	1	komputer	
16321	pol	648921	1	komputer	
16321	swe	695910	10	dator	
16321	nno	697739	6	datamaskin	
16321	nob	701277	6	datamaskin	
16321	nob	701278	10	elektronhjerne	
16321	fin	727369	10	tietokone	
16321	eus	835126	1	konputagailu	
16321	eus	838042	2	ordenagailu	
16321	heb	848092	10	מַחְשֵׁב	maḥšēḇ
16321	arb	854895	10	حَاسِب	ḥāsib
16321	arb	854899	10	حَاسُوب	ḥāsūb
16321	arb	858121	1	كمبيوتر	كmbيutr
16321	fra	885485	3	calculateur	
16321	fra	885486	2	ordinateur	
16321	ell	919329	10	υπολογιστής	upologistḗs
16321	nld	950216	1	computer	
16321	por	984281	3	calculadora	
16321	por	984283	1	computador	
16321	ron	1022619	3	calculator	
16321	ron	1023013	1	computer	
16321	ron	1023014	2	ordinator	
16321	slk	1079860	7	počítač	
16321	slk	1082977	5	procesor	
16321	slv	1106173	8	računalnik	
16321	afr	1127006	8	rekenaar	
16321	amh	1128631	1	ኮምፒዩተር	kompiyutär
16321	bel	1132795	1	кампутар	kamputar
16321	bod	1134693	10	གློག་ཀླད	glog klad
16321	bre	1135127	10	urzhiataer	
16321	ces	1139905	7	počítač	
16321	cmn	1154276	10	电脑	dian nao
16321	cmn	1154073	10	计算机	ji suan ji
16321	cym	1166700	10	cyfrifiadur	
16321	deu	1174817	1	computer	
16321	deu	1174559	8	rechner	
16321	epo	1193541	1	komputilo	
16321	fao	1199636	10	telda	
16321	fry	1201446	1	kompjûter	
16321	gla	1204262	1	coimpiutair	
16321	gla	1204263	10	rianadair	
